dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
powery,full,RandomForest,B-1,0.8940847142039263,35.5994957215612,43.850457585810986,0.0492934627792919,0.06071830106154938
powery,full,RandomForest,B-2,0.8936871592284287,38.145779489664584,45.65609351872547,0.04634506912406522,0.055469696474112436
powery,full,RandomForest,B-4,0.8733505065956242,36.00506162495896,43.374116910982906,0.0519312474685756,0.06255987067867574
powery,full,RandomForest,B-5,0.8803574509357739,36.466574435582245,45.119767838430036,0.04620833425581496,0.05717316052007877
powery,full,RandomForest,B-7,0.8859254750174779,33.479750309339416,41.51385884272131,0.04815380546059433,0.05970923510959777
powery,full,RandomForest,B-8,0.885319426965374,34.85786900124076,44.863342382750275,0.04757928431181305,0.061236265542541
powery,full,RandomForest,C-1,0.8791377702086021,80.50778004167415,100.62555326049433,0.05481947210855166,0.06851809486630751
powery,full,RandomForest,C-2,0.878283617414064,95.26776622971354,119.27690228767281,0.059123891954126186,0.07402414229462341
powery,full,RandomForest,C-3,0.8889074050990123,93.99986983144292,115.45154535460918,0.0515483569199002,0.06331218838457071
powery,full,RandomForest,C-4,0.8960426956227319,80.00008150657851,106.02305392736541,0.050154222984325605,0.0664687308814179
powery,full,RandomForest,C-5,0.8937790005191242,74.73378773266457,97.27586438373108,0.04678856576684458,0.06090147865281469
powery,full,RandomForest,C-6,0.8939415699861984,77.95049653838754,97.54654266526558,0.047871795086232204,0.059906329134700814
powery,full,RandomForest,C-7,0.8947582943733188,86.86027538071168,107.92529395192666,0.05475710255740427,0.0680365836230812
powery,full,RandomForest,C-8,0.8965115870090197,94.90451709885565,116.42558150566047,0.055174489768751375,0.0676861571184629
powery,full,RandomForest,C-9,0.8975360804825264,87.14151219139656,109.74989296351586,0.0596069527771093,0.07507164522002598
powery,full,RandomForest,C-10,0.896953726903367,77.45949433151348,97.91107699040118,0.056331854706786706,0.07120511966683941
powery,full,RandomForest,C-11,0.8856910070047805,75.31061415875882,95.16008608394972,0.05213506809042438,0.06587620646697868
powery,full,RandomForest,C-12,0.8880332659917368,81.42214171784865,103.56907095250871,0.05390318759169315,0.06856492524596247
powery,full,RandomForest,C-13,0.8683940115276821,96.34434742185344,119.57944347802813,0.053113752034037995,0.06592304664694425
powery,full,RandomForest,C-14,0.8386635656052215,105.36464178785833,131.51432065055698,0.07502387625709936,0.09364350270738417
powery,full,RandomForest,C-15,0.8443621485997879,87.17298842019149,109.37845689666919,0.06412377787144166,0.08045794920044871
powery,full,GradientBoosting,A-2,0.9620755983683296,16.32204462143416,20.298752251271463,0.027696888125898062,0.03444496588745311
powery,full,GradientBoosting,B-1,0.9728225207533616,17.808461943950295,22.212599940452215,0.02465879749692288,0.030757064003376414
powery,full,GradientBoosting,B-2,0.9616298563744794,22.033670627195278,27.42853425032056,0.026769723988755476,0.033324192946360326
powery,full,GradientBoosting,B-4,0.9692196550300537,17.20443312857011,21.382853411237157,0.024814502018154872,0.030841170712327545
powery,full,GradientBoosting,B-5,0.9654062938928175,19.971651036102756,24.261775143874452,0.025306921228560812,0.030743118399233698
powery,full,GradientBoosting,B-7,0.971984038875859,16.174930863390436,20.57318506746561,0.02326434537108811,0.029590338705936723
powery,full,GradientBoosting,B-8,0.9642255492806321,19.513904543791085,25.057237304741392,0.026635524170727943,0.03420190195070222
powery,full,GradientBoosting,C-1,0.981192101554468,31.721522772746976,39.694754072864626,0.02159986441038659,0.027029008409209753
powery,full,GradientBoosting,C-2,0.9877951276264987,29.985532719376444,37.77012781489776,0.018609247039681108,0.023440425281274765
